ATENÇÃO PRIMÁRIA À SAÚDE;;;;;;;;;;;;
DIRETRIZ 1 - Fortalecer a Atenção Primária à Saúde como ordenadora da Rede de Atenção à Saúde, garantindo acesso, longitudinalidade, coordenação do cuidado, integralidade e equidade à população de Parauapebas.;;;;;;;;;;;;
OBJETIVO 1.1 - Ampliar e qualificar a Atenção Primária à Saúde, assegurando cobertura, melhoria das infraestruturas, aprimoramento do processo de trabalho e valorização dos profissionais, resolutividade e coordenação do cuidado, com foco na universalização do acesso, à abrangência do cuidado integral, promoção da saúde e à prevenção de doenças e agravos.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
2.1.24;Qualificar os serviços de Atenção Domiciliar ampliando a cobertura populacional por Equipe Multiprofissional de Atenção Domiciliar (EMAD).;Número de equipes EMAD implantadas e qualificadas.;2024;2;número absoluto;2;número absoluto;302;1;0;0;1
OBJETIVO 2.2 - Ampliar e qualificar os serviços que compõe a Rede de Atenção Psicossocial no município, assegurando atenção integral, contínua e humanizada às pessoas com sofrimento mental e necessidades decorrentes do uso de álcool e outras drogas.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
2.2.1;Adequar/reformar o Centro de Atenção Psicossocial II melhorando a infraestrutura e a capacidade assistencial da Rede de Atenção Psicossocial do município.;CAPS II adequando/reformado ;2024;0;número absoluto;2;número absoluto;302;0;1;0;1
2.2.2;Implantar o Centro de Atenção Psicossocial III ampliando a cobertura assistencial da RAPS.;CAPS III implantado ;2024;0;número absoluto;1;número absoluto;302;0;0;0;1
2.2.3;Realizar a construção do CAPS III atendendo os parâmetros estruturais estabelecidos pelo MS e ANVISA.;Estrutura física CAPS III construído ;2024;0;número absoluto;1;número absoluto;302;0;0;0;1
2.2.4;Implantar e habilitar o Centro de Atenção Psicossocial infanto-Juvenil (CAPSi), qualificando a atenção psicossocial a crianças e adolescentes em sofrimento psíquico.;CAPSi implantado e habilitado junto ao MS.;2024;0;número absoluto;1;número absoluto;302;0;1;0;0
2.2.5;Realizar a construção do CAPSi atendendo os parâmetros estruturais estabelecidos pelo MS e ANVISA.;Estrutura física CAPSi construído ;2024;0;número absoluto;1;número absoluto;302;0;1;0;0
2.2.6;Habilitar e implantar o Centro de Atenção Psicossocial álcool e droga (CAPSad) qualificando a atenção psicossocial a todas as pessoas em situações relacionadas ao uso prejudicial de álcool e outras drogas.;CAPSad implantado e habilitado junto ao Ministério da Saúde.;2024;0;número absoluto;1;número absoluto;302;0;0;0;1
2.2.7;Construir o prédio do CAPSad atendendo requisitos e parâmetros estruturais estabelecidos pelo MS e ANVISA.;Estrutura física do CAPSad construída.;2024;0;número absoluto;1;número absoluto;302;0;0;0;1
2.2.8;Ampliar os leitos de saúde mental no município.;Número de leitos de saúde mental implantados.;2024;8;número absoluto;4;número absoluto;302;0;0;4;0
2.2.9;Aumentar o número de ações de matriciamento realizadas pelo CAPS com a APS.;Percentual de ações de matriciamento do CAPS com a APS;2024;71%;percentual;100%;percentual;302;78,25%;85,50%;92,75%;100%
2.2.10;Ampliar cobertura de serviços de saúde mental.;Percentual da população com acesso a serviços de saúde mental;2024;S/I;percentual;40%;percentual;302;20%;30%;35%;40%
2.2.11;Implantar/habilitar 01 Centro de Convivência e Cultura (CECO III).;Centro de Convivência e Cultura implantado. ;2024;0;número absoluto;1;número absoluto;302;0;0;0;1
;;;;;;;;;;;;
OBJETIVO 2.3: Estruturar, ampliar e qualificar a Rede de Atenção à Pessoa com Deficiência no município, assegurando atenção integral, acessível e contínua às pessoas com deficiência física, auditiva, visual, intelectual incluindo Transtorno do Espectro Autista (TEA), em articulação com os demais pontos da Rede de Atenção à Saúde.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
2.3.1;Habilitar o Centro Especializado em Reabilitação CER mudando a modalidade II para IV, ampliando a capacidade assistencial da Rede de Cuidados à Pessoas com Deficiência.;Modalidade do CER IV habilitado junto ao Ministério da Saúde.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.3.2;Realizar a construção do CER IV atendendo os pré-requisitos estruturais estabelecidos pelo MS e órgão sanitários,;CER IV construído;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.3.3;Realizar a construção e habilitação da oficina ortopédica fixa ampliando o acesso e a qualidade da assistência no município.;Oficina ortopédica construída.;2024;0;número absoluto;1;número absoluto;302;0;1;0;0
2.3.4;Adquirir frota de transporte sanitário adaptado, com acessibilidade para cadeirantes e usuários com mobilidade reduzida, destinado ao atendimento do CER.;Número de veículos adaptados adquiridos para o CER.;2024;1;número absoluto;1;número absoluto;302;0;0;1;0
2.3.5;Aderir ao incentivo financeiro federal de custeio para o Centro Especializado em Reabilitação (CER II) habilitado na modalidade de reabilitação intelectual, qualificando e ampliando a oferta de atendimento às pessoas com Transtorno do Espectro Autista (TEA).;CER II Modalidade Reabilitação Intelectual (TEA) habilitado.;2024;0;número absoluto;1;número absoluto;302;0;1;0;0
2.3.6;Aderir aos incentivos financeiros federais destinado ao custeio de transporte sanitário adaptado para pessoa com deficiente vinculado ao CER II.;Número de veículos de transporte sanitário adaptado habilitados para atendimento às pessoas com deficiência.;2024;0;número absoluto;2;número absoluto;302;1;0;1;0
2.3.7;Aumentar os procedimentos de reabilitação executados no CER II e SAD.;Número total de procedimentos de reabilitação realizados de acordo com a Nota Técnica Nº15/2024 CGSPD/DAET/SAES/MS.;2024;25.100;número absoluto;42.687;número absoluto;302;29.504;33.898;38.292;42.687
2.3.8;Realizar articulação interfederativa com o Governo do Estado do Pará para viabilizar a implantação do Núcleo Estadual de Atendimento ao Transtorno do Espectro Autista (NATEA) no município.;Núcleo de Atendimento ao Transtorno do Espectro Autista implantado.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.3.9;Implantar e habilitar junto ao Ministério da Saúde Equipe Assistencial de Cuidados Paliativos (EACP);Número de Equipe  Assistenciais de Cuidados Paliativos (EACP) implantados e habilitadas ;2024;0;número absoluto;1;número absoluto;302;0;1;0;0
;;;;;;;;;;;;
2.3.10;Implantar e habilitar junto ao Ministério da Saúde Equipe Matricial de Cuidados Paliativos (EMCP);Número de Equipe Matricial de Cuidados Paliativos (EMCP) implantados e habilitados;2024;0;número absoluto;1;número absoluto;302;0;1;0;0
;;;;;;;;;;;;
OBJETIVO 2.4: Implementar o Plano Municipal de Redução de Fila ampliando e qualificando o acesso da população aos serviços de atenção ambulatorial especializada, diminuindo o tempo de espera para consultas, exames e procedimentos, por meio da organização da oferta, fortalecimento da regulação e adesão às estratégias do Programa Agora Tem Especialistas.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano;Valor da linha de base;Unidade de medida;;;;;;;
2.4.1;Ampliar e reestruturar a infraestrutura física da Policlínica Municipal, adequando a capacidade instalada à demanda assistencial da atenção ambulatorial especializada.;Policlínica ampliada e reestruturada.;2024;0;número absoluto;1;número absoluto;302;0;1;0;0
2.4.2;Reformar a Policlínica Municipal qualificando a infraestrutura física e melhorando as condições de trabalho e de atendimento à população.;Policlínica reformada.;2024;0;número absoluto;2;número absoluto;302;0;1;0;1
2.4.3;Reduzir progressivamente o tempo médio de espera para consultas especializadas prioritárias (neurologia, cardiologia, ginecologia e ortopedia, reumatologia e endocrinologia) reguladas pelo município.;Tempo médio de espera para consultas especializadas prioritárias reguladas.;2024;125;número absoluto dias;≤ 45 dias;número absoluto dias;302;105;90;60;45
2.4.4;Implantar as modalidades de Ofertas de Cuidados Integrados (OCI’s) executadas nos serviços da rede própria, ou credenciadas.; Ofertas de Cuidados Integrados- OCI’s implantadas;2024;0;número absoluto;6;número absoluto;302;4;2;0;0
